REGION,JOB_TITLE,SALARY,LOAN_AMOUNT,PERIOD
Питер,Экономист,96231,1259144,84
Казань,Программист,96231,1633148,36
Питер,Экономист,89450,1259144,48
Питер,Программист,96231,718916,36
Москва,Программист,96231,1051364,84
Казань,Бухгалтер,157495,1425368,96
Питер,Экономист,137245,580396,12
Москва,Бухгалтер,112309,1356108,24
Москва,Бухгалтер,96231,1411516,108
Казань,Бухгалтер,75614,1633148,84
Питер,Экономист,137245,303356,60
Казань,Экономист,75614,1342256,72
Москва,Экономист,210561,469580,60
Казань,Программист,137245,1092920,48
Питер,Программист,189242,1369960,60
Казань,Бухгалтер,89450,635804,12
Москва,Программист,189242,829732,24
Москва,Программист,89450,621952,108
Казань,Программист,189242,774324,24
Питер,Экономист,189242,1162180,36
Питер,Программист,89450,524988,12
Москва,Программист,189242,234096,108
Питер,Программист,112309,663508,72
Питер,Программист,96231,663508,84
Казань,Экономист,75614,358764,48
Казань,Программист,137245,1674704,48
Казань,Экономист,210561,234096,60
Казань,Экономист,210561,220244,60
Питер,Бухгалтер,137245,1231440,84
Питер,Экономист,189242,1176032,36
Москва,Бухгалтер,157495,1660852,60
Питер,Бухгалтер,157495,1023660,60
Питер,Экономист,189242,261800,36
Казань,Экономист,89450,1453072,36
Москва,Программист,112309,982104,36
Казань,Программист,210561,1813224,36
Казань,Бухгалтер,96231,1591592,84
Казань,Бухгалтер,75614,1785520,48
Москва,Программист,96231,414172,60
Москва,Бухгалтер,210561,802028,84
Москва,Бухгалтер,112309,524988,108
Москва,Бухгалтер,137245,954400,36
Казань,Экономист,189242,1217588,36
Москва,Экономист,89450,1231440,72
Питер,Программист,96231,1425368,12
Казань,Бухгалтер,75614,732768,96
Питер,Бухгалтер,189242,428024,48
Питер,Программист,75614,649656,60
Москва,Бухгалтер,96231,898992,24
Казань,Бухгалтер,137245,1231440,48
Казань,Экономист,210561,1480776,108
Питер,Программист,189242,1993300,60
Питер,Бухгалтер,89450,1480776,72
Питер,Программист,89450,1411516,96
Питер,Экономист,210561,317208,48
Питер,Программист,89450,843584,108
Питер,Экономист,157495,1397664,72
Питер,Программист,157495,552692,36
Казань,Программист,189242,497284,96
Питер,Экономист,189242,538840,24
Питер,Экономист,75614,1619296,36
Питер,Бухгалтер,189242,774324,96
Казань,Программист,210561,1771668,108
Москва,Программист,157495,912844,12
Москва,Экономист,189242,511136,96
Москва,Экономист,89450,1439220,12
Москва,Экономист,75614,1466924,36
Питер,Экономист,157495,524988,108
Москва,Экономист,112309,1217588,36
Москва,Программист,75614,1272996,12
Питер,Бухгалтер,89450,1397664,24
Питер,Экономист,96231,705064,60
Москва,Программист,189242,1120624,48
Питер,Программист,189242,1162180,48
Москва,Экономист,112309,1660852,96
Питер,Программист,75614,538840,84
Питер,Бухгалтер,210561,1106772,36
Москва,Экономист,75614,608100,48
Питер,Бухгалтер,75614,1439220,36
Казань,Экономист,75614,1397664,72
Питер,Программист,96231,1148328,72
Москва,Экономист,96231,1480776,84
Москва,Программист,75614,1148328,48
Москва,Экономист,75614,1425368,96
Казань,Программист,189242,1065216,48
Казань,Бухгалтер,157495,1120624,24
Москва,Программист,137245,358764,24
Питер,Экономист,89450,1605444,72
Москва,Экономист,137245,1840928,108
Казань,Экономист,189242,871288,36
Москва,Программист,137245,524988,60
Питер,Программист,137245,1743964,48
Питер,Бухгалтер,189242,1951744,72
Казань,Программист,210561,1647000,36
Москва,Программист,137245,497284,72
Казань,Бухгалтер,189242,926696,84
Питер,Бухгалтер,137245,954400,108
Москва,Экономист,89450,220244,48
Питер,Экономист,157495,760472,60
Казань,Бухгалтер,189242,1480776,60
Питер,Программист,112309,400320,96
Питер,Экономист,112309,663508,84
Казань,Программист,75614,1979448,36
Казань,Бухгалтер,137245,372616,12
Москва,Экономист,189242,898992,24
Москва,Бухгалтер,112309,871288,24
Питер,Экономист,189242,1813224,60
Казань,Программист,75614,1910188,84
Казань,Бухгалтер,89450,455728,84
Казань,Программист,75614,234096,36
Москва,Бухгалтер,157495,524988,96
Питер,Программист,89450,1176032,60
Казань,Программист,210561,303356,60
Питер,Программист,89450,289504,96
Казань,Программист,189242,1550036,48
Москва,Программист,189242,261800,84
Питер,Бухгалтер,210561,926696,60
Казань,Бухгалтер,210561,1702408,72
Москва,Программист,157495,982104,48
Москва,Экономист,157495,1314552,36
Москва,Бухгалтер,157495,1951744,84
Казань,Бухгалтер,75614,1120624,60
Казань,Программист,75614,1536184,84
Казань,Программист,89450,1965596,60
Питер,Экономист,89450,1231440,60
Москва,Экономист,137245,954400,84
Питер,Программист,112309,1356108,60
Москва,Программист,112309,1494628,36
Москва,Бухгалтер,210561,1591592,96
Казань,Бухгалтер,89450,1314552,60
Москва,Бухгалтер,75614,289504,108
Казань,Программист,137245,1369960,72
Питер,Экономист,157495,1605444,108
Москва,Бухгалтер,189242,732768,24
Москва,Экономист,75614,746620,84
Питер,Экономист,89450,414172,108
Москва,Программист,112309,885140,24
Москва,Программист,112309,871288,36
Питер,Экономист,137245,871288,24
Питер,Программист,189242,192540,36
Казань,Программист,96231,1508480,12
Казань,Программист,112309,732768,84
Казань,Экономист,112309,815880,96
Питер,Бухгалтер,157495,621952,84
Казань,Программист,210561,1259144,108
Питер,Экономист,96231,372616,108
Питер,Экономист,137245,705064,72
Казань,Экономист,89450,1605444,36
Москва,Программист,137245,372616,24
Казань,Программист,157495,1951744,96
Москва,Экономист,210561,1730112,36
Казань,Бухгалтер,89450,1827076,60
Питер,Экономист,112309,1965596,60
Москва,Программист,96231,663508,24
Москва,Программист,112309,1508480,96
Москва,Программист,137245,1106772,72
Москва,Программист,75614,1591592,36
Москва,Бухгалтер,89450,303356,48
Казань,Бухгалтер,96231,400320,84
Казань,Программист,189242,1854780,12
Питер,Бухгалтер,89450,483432,84
Казань,Экономист,157495,1356108,84
Питер,Программист,157495,234096,72
Казань,Программист,89450,1633148,12
Питер,Экономист,75614,1633148,72
Питер,Программист,75614,1619296,24
Казань,Экономист,112309,1660852,12
Казань,Экономист,210561,1799372,36
Казань,Экономист,137245,843584,24
Казань,Бухгалтер,189242,1508480,12
Питер,Экономист,89450,1106772,12
Казань,Программист,189242,857436,24
Москва,Экономист,96231,982104,72
Казань,Экономист,157495,566544,72
Москва,Программист,189242,455728,12
Питер,Экономист,210561,1162180,108
Казань,Экономист,210561,566544,36
Питер,Бухгалтер,112309,1397664,60
Питер,Бухгалтер,112309,524988,36
Москва,Программист,96231,538840,108
Казань,Экономист,137245,261800,24
Казань,Экономист,189242,1120624,72
Москва,Экономист,210561,1896336,12
Москва,Программист,210561,1688556,60
Питер,Программист,157495,580396,24
Казань,Экономист,75614,1356108,48
Москва,Бухгалтер,89450,1328404,72
Питер,Бухгалтер,89450,691212,24
Москва,Программист,210561,1910188,24
Казань,Программист,112309,1813224,60
Казань,Программист,89450,1757816,108
Казань,Бухгалтер,75614,455728,48
Москва,Бухгалтер,157495,1813224,84
Казань,Бухгалтер,89450,1065216,12
Москва,Бухгалтер,75614,829732,36
Казань,Бухгалтер,112309,926696,36
Питер,Экономист,210561,1189884,36
Питер,Программист,137245,1730112,72
Казань,Экономист,75614,1037512,96
Казань,Бухгалтер,137245,1840928,24
Москва,Программист,137245,912844,84
Казань,Программист,189242,954400,12
Казань,Программист,89450,1314552,36
Питер,Программист,96231,1771668,72
Казань,Программист,137245,289504,96
Питер,Экономист,75614,995956,24
Москва,Бухгалтер,189242,968252,72
Питер,Бухгалтер,96231,1189884,24
Казань,Программист,210561,802028,96
Казань,Программист,89450,469580,36
Питер,Экономист,75614,1342256,12
Казань,Экономист,112309,1231440,96
Казань,Экономист,75614,1965596,12
Москва,Бухгалтер,137245,1065216,48
Москва,Бухгалтер,189242,1120624,108
Питер,Экономист,157495,1162180,12
Питер,Бухгалтер,112309,1189884,24
Питер,Экономист,96231,1065216,108
Питер,Программист,210561,968252,60
Москва,Бухгалтер,75614,441876,108
Казань,Экономист,137245,1910188,12
Москва,Программист,75614,995956,72
Казань,Программист,89450,261800,108
Питер,Бухгалтер,137245,1536184,60
Москва,Программист,89450,1910188,12
Москва,Экономист,137245,1009808,36
Питер,Бухгалтер,210561,1231440,36
Питер,Программист,112309,1924040,96
Москва,Экономист,189242,635804,36
Москва,Экономист,75614,1494628,12
Питер,Экономист,89450,1217588,72
Питер,Экономист,112309,1037512,12
Питер,Бухгалтер,89450,1203736,24
Питер,Программист,210561,1037512,84
Питер,Бухгалтер,89450,372616,96
Москва,Программист,96231,1591592,12
Питер,Экономист,210561,331060,24
Питер,Экономист,75614,815880,24
Москва,Бухгалтер,75614,538840,48
Казань,Экономист,210561,1328404,108
Казань,Бухгалтер,189242,1979448,84
Москва,Экономист,210561,275652,24
Питер,Программист,89450,1092920,48
Питер,Экономист,75614,1993300,24
Москва,Программист,137245,386468,12
Казань,Бухгалтер,189242,566544,60
Питер,Бухгалтер,96231,1162180,12
Москва,Экономист,210561,1563888,84
Москва,Программист,89450,552692,12
Казань,Программист,137245,718916,60
Москва,Программист,112309,552692,36
Казань,Программист,89450,1092920,60
Москва,Программист,75614,317208,108
Казань,Программист,189242,1342256,24
Питер,Программист,189242,1439220,12
Питер,Программист,112309,1522332,12
Питер,Бухгалтер,89450,982104,48
Питер,Программист,157495,802028,36
Питер,Программист,137245,1231440,96
Казань,Бухгалтер,210561,566544,48
Питер,Бухгалтер,75614,400320,48
Казань,Бухгалтер,89450,1563888,84
Питер,Бухгалтер,96231,483432,24
Питер,Экономист,75614,1272996,60
Питер,Бухгалтер,137245,497284,60
Питер,Экономист,96231,788176,96
Москва,Бухгалтер,210561,1480776,96
Питер,Экономист,96231,1854780,12
Казань,Программист,210561,261800,72
Питер,Программист,89450,1536184,84
Москва,Программист,137245,912844,12
Москва,Экономист,89450,358764,84
Москва,Экономист,96231,455728,96
Москва,Бухгалтер,112309,386468,72
Казань,Экономист,210561,1092920,12
Питер,Экономист,157495,1148328,24
Казань,Экономист,89450,635804,84
Питер,Программист,137245,718916,84
Москва,Бухгалтер,189242,1051364,84
Москва,Бухгалтер,210561,1189884,12
Питер,Программист,157495,663508,96
Москва,Программист,210561,1480776,36
Москва,Программист,75614,802028,36
Москва,Бухгалтер,112309,802028,108
Москва,Экономист,112309,1466924,60
Казань,Программист,210561,234096,48
Казань,Программист,89450,1965596,84
Питер,Экономист,157495,982104,84
Казань,Программист,96231,580396,12
Москва,Экономист,189242,261800,24
Москва,Экономист,189242,1882484,84
Казань,Бухгалтер,112309,1743964,60
Москва,Программист,89450,1619296,36
Москва,Экономист,96231,1688556,24
Москва,Бухгалтер,112309,1439220,48
Казань,Программист,157495,1037512,48
Москва,Программист,112309,1840928,84
Питер,Программист,96231,718916,96
Москва,Бухгалтер,96231,511136,60
Питер,Бухгалтер,137245,580396,72
Москва,Программист,112309,206392,60
Казань,Программист,75614,1716260,108
Казань,Бухгалтер,112309,1979448,12
Питер,Программист,75614,206392,48
Москва,Бухгалтер,137245,1771668,24
Питер,Экономист,189242,317208,84
Питер,Бухгалтер,137245,982104,12
Казань,Бухгалтер,89450,1272996,48
Москва,Экономист,189242,663508,60
Москва,Экономист,75614,1827076,48
Казань,Экономист,75614,1757816,60
Казань,Бухгалтер,96231,774324,72
Москва,Программист,189242,1300700,84
Питер,Бухгалтер,75614,566544,72
Москва,Экономист,89450,358764,12
Питер,Бухгалтер,189242,414172,12
Москва,Программист,157495,1522332,84
Москва,Программист,189242,898992,24
Москва,Экономист,75614,1577740,108
Казань,Программист,89450,663508,96
Питер,Экономист,89450,1259144,12
Питер,Программист,112309,1425368,24
Питер,Программист,75614,1106772,84
Москва,Бухгалтер,75614,718916,48
Казань,Бухгалтер,75614,995956,96
Питер,Программист,89450,871288,12
Питер,Программист,112309,718916,36
Питер,Бухгалтер,75614,1536184,12
Питер,Бухгалтер,112309,968252,60
Казань,Бухгалтер,189242,857436,108
Москва,Программист,189242,469580,84
Казань,Экономист,157495,1674704,60
Москва,Программист,96231,1508480,36
Москва,Бухгалтер,137245,1591592,48
Москва,Экономист,157495,788176,84
Москва,Бухгалтер,89450,1799372,72
Москва,Программист,89450,1522332,60
Москва,Программист,75614,275652,72
Питер,Программист,210561,1550036,108
Казань,Бухгалтер,210561,912844,96
Казань,Программист,96231,1924040,108
Казань,Бухгалтер,112309,1951744,60
Питер,Бухгалтер,189242,912844,24
Москва,Программист,189242,1702408,36
Питер,Экономист,210561,220244,72
Питер,Программист,75614,1619296,96
Москва,Программист,89450,1009808,108
Москва,Программист,157495,1965596,84
Москва,Экономист,96231,1494628,36
Питер,Экономист,189242,400320,108
Казань,Бухгалтер,75614,1757816,24
Питер,Бухгалтер,137245,788176,72
Казань,Экономист,210561,1550036,12
Питер,Программист,189242,691212,96
Москва,Экономист,210561,802028,48
Казань,Программист,96231,1979448,72
Казань,Программист,210561,1009808,60
Казань,Программист,137245,1577740,48
Питер,Экономист,96231,912844,36
Казань,Бухгалтер,89450,1937892,108
