REGION,JOB_TITLE,SALARY,LOAN_AMOUNT,PERIOD,TARGET
Казань,Экономист,75614,1383812,96,1
Питер,Бухгалтер,75614,234096,96,1
Питер,Экономист,157495,1259144,108,1
Питер,Программист,96231,524988,72,1
Казань,Бухгалтер,96231,912844,96,1
Москва,Бухгалтер,112309,303356,84,1
Питер,Бухгалтер,189242,774324,96,1
Казань,Бухгалтер,210561,275652,36,1
Питер,Бухгалтер,157495,317208,36,1
Питер,Программист,210561,1065216,12,0
Казань,Бухгалтер,189242,247948,84,1
Питер,Бухгалтер,96231,1882484,108,1
Питер,Бухгалтер,189242,746620,12,0
Казань,Экономист,189242,1937892,60,1
Питер,Бухгалтер,137245,1508480,36,0
Питер,Экономист,137245,538840,108,1
Казань,Программист,210561,843584,72,1
Казань,Программист,112309,718916,48,1
Питер,Программист,189242,524988,12,1
Казань,Бухгалтер,75614,289504,84,1
Казань,Экономист,210561,1369960,84,1
Москва,Экономист,137245,1356108,84,1
Питер,Бухгалтер,112309,1494628,84,1
Казань,Экономист,137245,220244,108,1
Казань,Программист,89450,982104,36,0
Казань,Программист,210561,1120624,12,0
Москва,Бухгалтер,75614,1162180,48,0
Казань,Экономист,157495,234096,24,1
Казань,Экономист,112309,441876,84,1
Москва,Бухгалтер,157495,843584,108,1
Казань,Экономист,210561,1092920,96,1
Питер,Программист,112309,1716260,108,1
Казань,Экономист,96231,275652,84,1
Москва,Программист,89450,635804,48,1
Москва,Программист,137245,303356,108,1
Москва,Бухгалтер,89450,1702408,84,1
Москва,Программист,210561,414172,96,1
Казань,Программист,112309,538840,24,1
Казань,Экономист,89450,1411516,84,1
Питер,Экономист,210561,483432,72,1
Казань,Программист,210561,677360,12,1
Казань,Программист,96231,1009808,108,1
Питер,Программист,137245,1854780,96,1
Казань,Программист,189242,1605444,96,1
Москва,Бухгалтер,137245,1674704,84,1
Москва,Экономист,210561,1771668,72,1
Москва,Бухгалтер,157495,1508480,60,1
Питер,Бухгалтер,89450,1397664,108,1
Москва,Экономист,75614,1702408,72,0
Москва,Экономист,112309,511136,24,1
Питер,Программист,157495,1466924,24,0
Казань,Экономист,157495,1951744,108,1
Москва,Экономист,96231,815880,12,0
Питер,Экономист,157495,524988,24,1
Москва,Программист,89450,1965596,72,0
Москва,Программист,189242,746620,84,1
Казань,Бухгалтер,96231,1813224,84,1
Казань,Программист,112309,1023660,108,1
Москва,Экономист,157495,1272996,84,1
Москва,Бухгалтер,189242,580396,96,1
Москва,Программист,210561,234096,108,1
Москва,Экономист,75614,1425368,12,0
Питер,Программист,89450,1577740,84,1
Питер,Экономист,96231,1522332,72,1
Казань,Программист,89450,982104,72,1
Казань,Программист,89450,1079068,96,1
Казань,Бухгалтер,189242,1231440,108,1
Питер,Программист,75614,1411516,24,0
Москва,Бухгалтер,89450,1425368,84,1
Казань,Экономист,75614,885140,96,1
Казань,Программист,112309,1924040,84,1
Питер,Экономист,89450,1840928,12,0
Москва,Программист,210561,206392,24,1
Питер,Программист,157495,1079068,108,1
Москва,Бухгалтер,75614,774324,108,1
Москва,Экономист,112309,1910188,72,1
Казань,Программист,89450,1508480,36,0
Питер,Программист,75614,1563888,24,0
Москва,Бухгалтер,210561,261800,96,1
Казань,Бухгалтер,157495,1120624,108,1
Казань,Программист,189242,1702408,36,1
Казань,Экономист,210561,1356108,96,1
Москва,Бухгалтер,112309,940548,84,1
Москва,Экономист,89450,1550036,12,0
Казань,Экономист,75614,608100,84,1
Москва,Бухгалтер,96231,1176032,12,0
Казань,Программист,157495,220244,48,1
Питер,Программист,112309,1965596,36,0
Питер,Бухгалтер,112309,400320,84,1
Казань,Бухгалтер,96231,511136,60,1
Москва,Экономист,189242,829732,48,1
Казань,Бухгалтер,137245,414172,72,1
Питер,Программист,89450,815880,108,1
Казань,Бухгалтер,157495,538840,60,1
Казань,Бухгалтер,96231,1924040,96,1
Казань,Бухгалтер,137245,760472,12,0
Казань,Программист,112309,1342256,84,1
Казань,Экономист,96231,677360,60,1
Москва,Бухгалтер,189242,1411516,36,1
Казань,Экономист,137245,663508,84,1
Казань,Экономист,157495,705064,84,1
Питер,Бухгалтер,210561,331060,72,1
Питер,Экономист,89450,594248,72,1
Москва,Бухгалтер,96231,1148328,36,0
Москва,Бухгалтер,96231,1328404,24,0
Питер,Экономист,112309,1231440,60,1
Питер,Программист,75614,968252,24,0
Питер,Бухгалтер,89450,552692,96,1
Москва,Бухгалтер,189242,968252,72,1
Питер,Бухгалтер,75614,1134476,96,1
Москва,Бухгалтер,157495,1286848,36,1
Питер,Экономист,89450,1245292,12,0
Казань,Программист,112309,400320,84,1
Москва,Бухгалтер,189242,1037512,24,1
Москва,Программист,137245,1300700,108,1
Москва,Экономист,157495,829732,84,1
Питер,Экономист,137245,247948,60,1
Москва,Бухгалтер,112309,1827076,108,1
Питер,Экономист,89450,1937892,60,0
Казань,Бухгалтер,210561,1868632,24,0
Москва,Программист,210561,1009808,108,1
Москва,Бухгалтер,89450,1023660,72,1
Питер,Бухгалтер,189242,1176032,108,1
Казань,Программист,96231,649656,96,1
Казань,Бухгалтер,96231,621952,96,1
Москва,Экономист,96231,691212,84,1
Москва,Экономист,210561,1647000,72,1
Питер,Бухгалтер,157495,303356,60,1
Питер,Программист,75614,940548,96,1
Казань,Бухгалтер,112309,677360,72,1
Москва,Бухгалтер,112309,1979448,24,0
Казань,Экономист,96231,441876,84,1
Казань,Бухгалтер,210561,1120624,108,1
Москва,Программист,112309,1079068,96,1
Питер,Программист,210561,954400,48,1
Казань,Программист,89450,1882484,60,0
Питер,Бухгалтер,75614,608100,12,0
Питер,Программист,89450,649656,12,0
Питер,Бухгалтер,89450,1425368,48,0
Москва,Экономист,96231,220244,108,1
Москва,Экономист,89450,1203736,24,0
Питер,Экономист,137245,718916,96,1
Казань,Программист,96231,331060,84,1
Питер,Программист,137245,524988,36,1
Москва,Бухгалтер,89450,428024,12,0
Казань,Бухгалтер,89450,1079068,84,1
Москва,Бухгалтер,137245,1951744,96,1
Москва,Бухгалтер,96231,1286848,72,1
Москва,Бухгалтер,75614,1605444,96,1
Казань,Экономист,137245,1272996,12,0
Питер,Экономист,96231,1674704,48,0
Питер,Бухгалтер,75614,1840928,12,0
Москва,Бухгалтер,189242,857436,96,1
Казань,Экономист,112309,718916,72,1
Казань,Программист,137245,1314552,72,1
Москва,Программист,89450,774324,60,1
Питер,Бухгалтер,210561,524988,60,1
Казань,Бухгалтер,157495,1023660,96,1
Питер,Экономист,96231,524988,36,1
Москва,Экономист,210561,1979448,48,1
Питер,Программист,189242,926696,36,1
Москва,Экономист,89450,1799372,36,0
Казань,Экономист,137245,1550036,24,0
Питер,Бухгалтер,89450,760472,60,1
Питер,Программист,137245,1730112,72,1
Питер,Бухгалтер,75614,1965596,72,0
Москва,Бухгалтер,189242,1605444,84,1
Питер,Экономист,157495,1162180,60,1
Казань,Экономист,210561,1882484,48,1
Питер,Экономист,210561,1688556,84,1
Москва,Экономист,89450,1993300,84,1
Питер,Экономист,189242,580396,48,1
Москва,Бухгалтер,189242,1993300,96,1
Казань,Бухгалтер,75614,1910188,48,0
Питер,Экономист,112309,829732,84,1
Казань,Программист,137245,1383812,84,1
Москва,Программист,157495,1245292,24,0
Казань,Программист,112309,220244,24,1
Казань,Бухгалтер,189242,1716260,36,1
Казань,Экономист,75614,1148328,36,0
Москва,Программист,75614,455728,36,1
Казань,Экономист,96231,1619296,60,1
Москва,Программист,89450,1896336,60,0
Казань,Программист,96231,1328404,48,1
Москва,Бухгалтер,75614,275652,12,0
Питер,Программист,157495,1300700,24,0
Питер,Бухгалтер,89450,428024,84,1
Казань,Программист,189242,594248,12,1
Москва,Бухгалтер,157495,1910188,84,1
Москва,Экономист,189242,261800,72,1
Питер,Бухгалтер,112309,538840,48,1
Казань,Бухгалтер,210561,635804,48,1
Казань,Программист,137245,469580,24,1
Питер,Экономист,189242,455728,24,1
Казань,Программист,89450,1896336,84,1
Москва,Экономист,189242,1120624,60,1
Казань,Экономист,112309,1591592,60,1
Казань,Программист,210561,1757816,108,1
Москва,Программист,75614,1937892,84,0
Москва,Программист,89450,1563888,72,1
Питер,Бухгалтер,137245,732768,108,1
Казань,Программист,137245,1259144,36,1
Москва,Бухгалтер,75614,1536184,36,0
Москва,Бухгалтер,137245,871288,72,1
Москва,Бухгалтер,210561,372616,36,1
Питер,Программист,189242,1356108,108,1
Казань,Бухгалтер,137245,746620,60,1
Питер,Бухгалтер,157495,1217588,36,1
Казань,Экономист,89450,331060,12,0
Питер,Бухгалтер,210561,1134476,12,0
Казань,Экономист,210561,1065216,12,0
Питер,Экономист,75614,1660852,12,0
Казань,Экономист,210561,414172,96,1
Питер,Программист,210561,1425368,24,1
Москва,Экономист,210561,1577740,12,0
Питер,Экономист,75614,469580,36,1
Москва,Экономист,75614,220244,24,1
Москва,Бухгалтер,157495,1051364,84,1
Казань,Бухгалтер,112309,774324,48,1
Казань,Бухгалтер,157495,1854780,36,0
Казань,Бухгалтер,157495,469580,72,1
Питер,Экономист,210561,1425368,48,1
Питер,Бухгалтер,157495,857436,12,0
Казань,Программист,112309,1300700,60,1
Питер,Экономист,75614,1037512,108,1
Москва,Бухгалтер,89450,1965596,36,0
Казань,Экономист,189242,1023660,24,1
Москва,Бухгалтер,137245,1647000,36,0
Питер,Программист,157495,1827076,12,0
Москва,Программист,112309,815880,84,1
Питер,Экономист,112309,1134476,72,1
Казань,Бухгалтер,112309,1314552,96,1
Питер,Программист,96231,1522332,48,0
Казань,Бухгалтер,96231,885140,12,0
Питер,Бухгалтер,96231,344912,24,1
Казань,Программист,157495,788176,12,0
Казань,Бухгалтер,75614,386468,72,1
Москва,Программист,189242,1411516,96,1
Москва,Экономист,96231,386468,12,0
Казань,Экономист,210561,469580,12,1
Питер,Программист,189242,1882484,24,0
Казань,Экономист,189242,455728,72,1
Москва,Экономист,189242,1009808,108,1
Питер,Экономист,137245,912844,84,1
Москва,Программист,75614,802028,60,1
Москва,Программист,112309,815880,84,1
Москва,Программист,89450,234096,108,1
Казань,Бухгалтер,157495,1300700,96,1
Питер,Программист,137245,1120624,12,0
Москва,Бухгалтер,112309,1425368,72,1
Москва,Экономист,189242,1023660,96,1
Казань,Бухгалтер,210561,1037512,12,0
Москва,Бухгалтер,75614,1771668,48,0
Москва,Экономист,96231,483432,12,0
Москва,Бухгалтер,137245,1563888,84,1
Москва,Экономист,189242,1272996,108,1
Питер,Программист,210561,1189884,108,1
Москва,Экономист,96231,1633148,72,1
Казань,Программист,137245,1120624,24,0
Москва,Экономист,96231,1217588,108,1
Питер,Экономист,89450,1231440,72,1
Москва,Программист,112309,1300700,60,1
Питер,Экономист,210561,331060,48,1
Питер,Бухгалтер,210561,1009808,24,1
Казань,Программист,137245,1383812,48,1
Москва,Бухгалтер,112309,732768,96,1
Москва,Программист,137245,1522332,12,0
Казань,Бухгалтер,189242,1536184,36,1
Питер,Экономист,89450,1134476,108,1
Казань,Бухгалтер,112309,1148328,48,1
Казань,Программист,157495,247948,84,1
Питер,Программист,89450,289504,12,1
Казань,Бухгалтер,75614,483432,48,1
Питер,Экономист,96231,1272996,48,1
Казань,Экономист,75614,760472,48,1
Питер,Программист,89450,663508,60,1
Казань,Программист,210561,1508480,108,1
Казань,Бухгалтер,210561,1619296,60,1
Москва,Бухгалтер,137245,1577740,96,1
Москва,Экономист,75614,1009808,84,1
Питер,Программист,89450,1453072,84,1
Москва,Программист,75614,1785520,96,1
Питер,Экономист,112309,940548,84,1
Питер,Бухгалтер,112309,885140,84,1
Питер,Экономист,157495,1189884,12,0
Москва,Бухгалтер,137245,497284,108,1
Питер,Экономист,210561,1757816,48,1
Питер,Экономист,75614,1176032,24,0
Питер,Программист,89450,1148328,72,1
Москва,Бухгалтер,157495,1453072,48,1
Казань,Программист,75614,441876,84,1
Питер,Программист,89450,192540,12,1
Казань,Программист,189242,995956,72,1
Казань,Бухгалтер,89450,621952,24,1
Казань,Программист,210561,483432,12,1
Питер,Экономист,157495,1522332,84,1
Казань,Программист,137245,1176032,72,1
Москва,Бухгалтер,75614,455728,96,1
Казань,Бухгалтер,137245,774324,96,1
Москва,Бухгалтер,189242,1023660,96,1
Москва,Экономист,89450,289504,108,1
Москва,Программист,137245,649656,84,1
Москва,Экономист,75614,1743964,84,1
Питер,Бухгалтер,189242,705064,84,1
Питер,Бухгалтер,112309,1286848,36,0
Питер,Бухгалтер,210561,192540,72,1
Казань,Программист,210561,1397664,36,1
Казань,Экономист,89450,1231440,72,1
Москва,Программист,157495,483432,96,1
Казань,Экономист,75614,1494628,96,1
Казань,Экономист,210561,1882484,84,1
Питер,Бухгалтер,75614,1453072,48,0
Москва,Экономист,112309,1716260,24,0
Москва,Экономист,157495,1910188,108,1
Казань,Программист,75614,1910188,36,0
Казань,Программист,137245,206392,84,1
Казань,Бухгалтер,157495,857436,96,1
Москва,Бухгалтер,96231,1937892,24,0
Питер,Бухгалтер,96231,234096,60,1
Питер,Экономист,137245,1619296,72,1
Питер,Программист,96231,331060,36,1
Питер,Экономист,157495,1813224,84,1
Казань,Программист,210561,663508,84,1
Казань,Экономист,75614,898992,96,1
Казань,Программист,157495,1896336,96,1
Москва,Программист,89450,538840,12,0
Москва,Программист,137245,511136,36,1
Казань,Программист,96231,926696,96,1
Питер,Экономист,75614,1799372,48,0
Москва,Бухгалтер,137245,1522332,24,0
Москва,Экономист,96231,1937892,96,1
Казань,Программист,96231,1771668,84,1
Москва,Бухгалтер,112309,1647000,96,1
Казань,Экономист,210561,289504,72,1
Москва,Экономист,157495,1896336,84,1
Питер,Бухгалтер,189242,441876,108,1
Питер,Экономист,157495,289504,48,1
Москва,Бухгалтер,157495,1453072,36,1
Питер,Бухгалтер,137245,317208,72,1
